"idcarrito","idproducto","iduser","cantidad"
"6","3","2","5"
"7","1024","2","4"
"8","2","2","7"
"9","1038","2","1"
"10","1","2","4"
"idcategoria","nombre","img1"
"1","FRENOS","categoria.png"
"2","ACEITES","categoria.png"
"3","GUAYAS","categoria.png"
"4","GENERICO","categoria.png"
"5","bujias","categoria.png"
"30","guantes",NULL
"31","xxx","categoria.png"
"idproducto","precio","descripcion","img1","img2","img3","img4","idcategoria","nombre"
"1","500000","PASTILLAS ","d7fd357e99444982984bf2ed4e4483c1.jfif","034f543e20ae4783a1300d42d81105c7.jfif","productos.png","productos.png","1","pastilla de freno "
"2","3000",,"d154be17d578460f8964690d3a52160e.jfif","productos.png","productos.png","productos.png","3",
"3","25000","BOMBA DE AIRE PARA MOTO Y BALONES","productos.png","0153a0f33db34d66a3ad47c4a34c16d1.jfif","productos.png","productos.png","1",
"4","12000","bujia temperatura","5d9fec73f3034520a78f40e589ae5c07.jfif","69fa727f5b3748768d721df0ac4f072b.jfif","productos.png","productos.png","5",
"1000","6000","AnDy",,"0","0",,"30","GUANTE INGENIERO VAQUETA BLANCO REFUERZO PALMA"
"1001","5700","AnDy",,"0","0",,"30","GUANTE INGENIERO VAQUETA REFUERZO PALMA"
"1002","5300","AnDy",,"0","0",,"30","GUANTE INGENIERO VAQUETA SENCILLO"
"1003","7500","AnDy",,"0","0",,"30","GUANTE INGENIERO VAQUETA REFUERZO COMPLETO VAQUETA"
"1004","6700","AnDy",,"0","0",,"30","GUANTE INGENIERO VAQUETA REFUERZO COMPLETO CARNAZA"
"1005","6000","AnDy",,"0","0",,"30","GUANTE INGENIERO VAQUETA REFUERZO EN PALMA VAQUETA CON REFUERZO DEDO INDICE Y PULGAR"
"1006","5900","AnDy",,"0","0",,"30","GUANTE INGENIERO VAQUETA REFUERZO EN PALMA MANGA CORTA EN VAQUETA"
"1007","8500","AnDy",,"0","0",,"30","GUANTE INGENIERO VAQUETA REFUERZO EN PALMA MANGA LARGA EN VAQUETA"
"1008","7000","AnDy",,"0","0",,"30","GUANTE INGENIERO VAQUETA REFUERZO PALMA EN VAQUETA MANGA LARGA EN CARNAZA"
"1009","5200","AnDy",,"0","0",,"30","GUANTE INGENIERO VAQUETA REFUERZO PALMA EN CARNAZA"
"1010","6200","AnDy",,"0","0",,"30","GUANTE VAQUETA EXTRA LARGO REFUERZO COMPLETO EN VAQUETA"
"1011","5500","AnDy",,"0","0",,"30","GUANTE INGENIERO MIXTO REFUERZO EN PALMA CARNAZA"
"1012","6200","AnDy",,"0","0",,"30","GUANTE INGENIERO EXTRA GRANDE MIXTO REFUERZO COMPLETO EN VAQUETA"
"1013","7500","AnDy",,"0","0",,"30","GUANTE INGENIERO REFUERZO EN PALMA Y MANGA EN VAQUETA 3/4"
"1014","7200","AnDy",,"0","0",,"30","GUANTE INGENIERO SENCILLO MANGA 3/4 VAQUETA"
"1015","6700","AnDy",,"0","0",,"30","GUANTE INGENIERO REFORZADO EN PALMA VAQUETA Y MANGA EN CARNAZA 3/4"
"1016","5500","AnDy",,"0","0",,"30","GUANTE INGENIERO CARNAZA REFUERZO EN VAQUETA COMPLETO"
"1017","5120","AnDy",,"0","0",,"30","GUANTE INGENIERO CARNAZA REFUERZO COMPLETO TRANSEJES"
"1018","4000","AnDy",,"0","0",,"30","GUANTE INGENIERO CARNAZA REFUERZO PALMA EN CARNAZA"
"1019","6500","AnDy",,"0","0",,"30","GUANTE INGENIERO SENCILLO MANGA 3/4 CARNAZA"
"1020","14700","AnDy",,"0","0",,"30","GUANTE INGENIERO SENCILLO PEGADO A LA MANGA SOLDADOR"
"1021","5900","AnDy",,"0","0",,"30","GUANTE INGENIERO BARRIDO"
"1022","7500","AnDy",,"0","0",,"30","GUANTE INGENIERO RECOLECCION"
"1023","12000","AnDy",,"0","0",,"30","GUANTE ESPECIAL PALMERO VAQUETA REFUERZO COMPLETO Y MANGA EN VAQUETA"
"1024","6000","AnDy",,"0","0",,"30","GUANTE PALMERO CARNAZA REFUERCO COMPLETO VAQUETA CORTO"
"1025","7500","AnDy",,"0","0",,"30","GUANTE PALMERO CARNAZA REFUERZO COMPLETO EN VAQUETA MANGA LARGA"
"1026","7000","AnDy",,"0","0",,"30","GUANTE PALMERO CARNAZA REFUERZO COMPLETO EN VAQUETA MANGA 3/4"
"1027","8700","AnDy",,"0","0",,"30","GUANTE PALMERO CARNAZA REFUERZO COMPLETO EN TULA"
"1028","5500","AnDy",,"0","0",,"30","GUANTE CARNAZA PALMERO REFUERZO COMPLETO EN CARNAZA MANGA CORTA"
"1029","6000","AnDy",,"0","0",,"30","GUANTE CARNAZA REFUERZO COMPLETO CARNAZA MANGA LARGA"
"1030","9500","AnDy",,"0","0",,"30","GUANTE SOLDADOR SENCILLO EN CARNAZA"
"1031","12000","AnDy",,"0","0",,"30","GUANTE SOLDADOR CARNAZA REFUERZO COMPLETO EN VAQUETA"
"1032","4800","AnDy",,"0","0",,"30","GUANTE CICLISTA MIXTO"
"1033","8000","AnDy",,"0","0",,"30","GUANTE CICLISTA EN VAQUETA"
"1034","7500","AnDy",,"0","0",,"30","GUANTE CICLISTA VAQUETA REFUERZO VAQUETA CON ESPUMA"
"1035","10000","AnDy",,"0","0",,"30","GUANTE PANADERO"
"1036","15000","AnDy",,"0","0",,"30","GUANTE PARA MOTO"
"1037","9500","AnDy",,"0","0",,"30","POLAINA EN CARNAZA CORTA"
"1038","12000","AnDy",,"0","0",,"30","POLAINA EN CARNAZA LARGA"
"1039","34000","AnDy",,"0","0",,"30","POLAINA TULA"
"1040","9500","AnDy",,"0","0",,"30","PETO CARNAZA 90 X 60"
"1041","19000","AnDy",,"0","0",,"30","PETO VAQUETA 90 X 60"
"1042","25000","AnDy",,"0","0",,"30","PETO VAQUETA 60 X 120"
"1043","12000","AnDy",,"0","0",,"30","PETO CARNAZA 60 X 120"
"1044","28000","AnDy",,"0","0",,"30","PETO EN TULA 90 X 60"
"1045","19000","AnDy",,"0","0",,"30","PETO CARNAZA DOBLE 90 X 60"
"1046","29000","AnDy",,"0","0",,"30","CHAQUETA VAQUETA SOLDADOR"
"1047","300","AnDy",,"0","0",,"30","TAPABOCAS COMPUTELL"
"1048","9000","AnDy",,"0","0",,"30","MANGA CARNAZA"
"1049","19000","AnDy",,"0","0",,"30","MANGA VAQUETA"
"1050","28000","AnDy",,"0","0",,"30","MANGA TULA"
"1051","5000","Administrador d",,"0","0",,"30","PETICION HORUN MOTORIZADO"
"1052","40000","Administrador d","1000","0","0","a12","30","BODIARMO"
"1053","130000","Administrador d",,"0","0","I1","30","OSOS"
"1054","11000","Administrador d",,"0","0",,"30","CAJAS ZAPATERA"
"1055","10000","Administrador d",,"0","0",,"30","GLOBOS"
"1056","3000","Administrador d",,"0","0",,"30","BOMBAS"
"1057","70000","Administrador d",,"0","0",,"30","EXTINTIOR DE 10 LIBRAS"
"1058","30000","DAVID ALEJANDRO",,"0","0","P1I2","30","ACEITE MOTUL"
"1059","14000","ANDRES PE?A VEL",,"0","0",,"30","DIRECCIONALES MOTOS"
"1060","28000","ANDRES PE?A VEL",,"0","0",,"30","ACEITE DICXOIL"
"1061","28000","ANDRES PE?A VEL",,"0","0",,"30","ACEITE ADVANCE"
"1062","28000","ANDRES PE?A VEL",,"0","0",,"30","ACEITE SUPER MOVIL"
"1063","25000","ANDRES PE?A VEL",,"0","0",,"30","ACEITE CASTROL"
"1064","36000","ANDRES PE?A VEL",,"0","0",,"30","ACEITE YAMALUBE"
"1065","35000","ANDRES PE?A VEL",,"0","0",,"30","ACEITE HAVOLINE"
"1066","40000","ANDRES PE?A VEL",,"0","0",,"30","ACEITE HONDA"
"1067","37000","ANDRES PE?A VEL",,"0","0",,"30","ACEITE MOTUL"
"1068","25000","ANDRES PE?A VEL",,"0","0",,"30","ACEITE CELERITY"
"1069","22000","ANDRES PE?A VEL",,"0","0",,"30","CERA BRILLA MAX"
"1070","22000","ANDRES PE?A VEL",,"0","0",,"30","LLANTYL"
"1071","15000","ANDRES PE?A VEL",,"0","0",,"30","LIQUIDO DE FRENOS"
"1072","25000","ANDRES PE?A VEL",,"0","0",,"30","ACEITE HIDRAULICO"
"1073","10000","ANDRES PE?A VEL",,"0","0",,"30","GRASA DE CADENA"
"1074","120000","ANDRES PE?A VEL",,"0","0",,"30","FRENO DE DISCO  PULSAR 180"
"1075","180000","ANDRES PE?A VEL",,"0","0",,"30","RELACION COMPLETA PLATO, CADENA, PI?ON PULSAR 180"
"1076","115000","ANDRES PE?A VEL",,"0","0",,"30","RELACION COMPLETA PULSAR 135"
"1077","150000","ANDRES PE?A VEL",,"0","0",,"30","RELACION COMPLETA DT"
"1078","120000","ANDRES PE?A VEL",,"0","0",,"30","FRENO DE DISCO 135"
"1079","40000","ANDRES PE?A VEL",,"0","0",,"30","PLATO GENERICO"
"1080","33000","ANDRES PE?A VEL",,"0","0",,"30","CADENA  428"
"1081","35000","ANDRES PE?A VEL",,"0","0",,"30","CADENA 520"
"1082","25000","ANDRES PE?A VEL",,"0","0",,"30","PASTILLAS DE FRENO DELANTERA"
"1083","25000","ANDRES PE?A VEL",,"0","0",,"30","PASTILLA DE FRENO TRASERO"
"1084","25000","ANDRES PE?A VEL",,"0","0",,"30","BANDAS DE FRENO"
"1085","12000","ANDRES PE?A VEL",,"0","0",,"30","CAUCHOS CAMPANA FRENO"
"1086","55000","ANDRES PE?A VEL",,"0","0",,"30","BOMBAS DE FRENO"
"1087","60000","ANDRES PE?A VEL",,"0","0",,"30","DISCOS DE CLOSH"
"1088","12000","ANDRES PE?A VEL",,"0","0",,"30","MANILARES"
"1089","25000","ANDRES PE?A VEL",,"0","0",,"30","MANIGUETA"
"1090","250000","caco cerrado con normas iso","249297afa227479ca13db30440be88c3.webp","fe19dd16cd754534ab88024e1f8ae04f.webp","60ea3b424cb84d86a8755247f75d1277.webp","37c7ea491ae2494db74294cb4f20d82f.jfif","4","caco cerrado certificado "
"iduser","nameuser","passworduser","nombre","telefono","correo","cedula","imgper","feccre","tipousu"
"1","andy","1234","andy","None","ANDETAZZ@GMAIL.COM","None",NULL,NULL,"2"
"2","andres","1234","andres123","12345","ANDETAZZ87@GMAIL.COM","12356","usuario.png",NULL,"1"
"3","andres1","123","andres1","1234","ANDETAZZ@GMAIL.COM","1234","usuario.png",NULL,"1"
"5","andy1","123","andy1","123","ANDETAZZ@GMAIL.COM","123",NULL,NULL,NULL
